Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2015,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2016,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2014,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2020,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2022,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2021,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2005,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.06
2006,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.08
2019,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.01
2007,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.04
2008,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.04
2009,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.03
2010,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.02
2017,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2018,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2011,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.01
2012,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0.01
2013,Public spending on active labour market policies,SVK,Slovak Republic,Placement and related services,Share of GDP,0
2015,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.02
2016,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.03
2014,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2020,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0
2022,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0
2021,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0
2004,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.03
2005,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.06
2006,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.05
2001,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.15
2019,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2007,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.04
2008,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.05
2009,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2010,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
1998,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.08
2017,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2018,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2003,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.03
1999,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2011,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2012,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
2013,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.01
1993,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.04
2000,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.13
2002,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.08
1992,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.11
1995,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.13
1996,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.2
1997,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.14
1994,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.03
1991,Public spending on active labour market policies,SVK,Slovak Republic,Direct job creation,Share of GDP,0.03
2015,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.08
2016,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.12
2014,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.09
2020,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.21
2022,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.07
2021,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.1
2004,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.01
2005,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.03
2006,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.02
2001,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.01
2019,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.1
2007,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.02
2008,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.02
2009,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.03
2010,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.09
1998,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.1
2017,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.12
2018,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.11
2003,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.01
1999,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.01
2011,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.1
2012,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.08
2013,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.08
1993,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.01
2000,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0
2002,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.04
1992,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.03
1995,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0
1996,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0
1997,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.12
1994,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.01
1991,Public spending on active labour market policies,SVK,Slovak Republic,Employment incentives,Share of GDP,0.02
2015,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.01
2016,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.01
2014,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.01
2020,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.02
2022,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.01
2021,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0
2004,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.02
2005,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.05
2006,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.04
2001,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.01
2019,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.01
2007,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.04
2008,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.05
2009,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.07
2010,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.08
1998,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.01
2017,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.01
2018,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.01
2003,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.03
1999,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0
2011,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.07
2012,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.05
2013,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.02
1993,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.18
2000,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0
2002,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.06
1992,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.79
1995,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.46
1996,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.34
1997,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.04
1994,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.3
1991,Public spending on active labour market policies,SVK,Slovak Republic,Start-up incentives,Share of GDP,0.08
2015,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.01
2016,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.01
2014,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0
2020,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.01
2022,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.01
2021,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0
2004,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.01
2005,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.02
2006,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.01
2001,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.02
2019,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.02
2007,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0
2008,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.01
2009,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.01
2010,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0
1998,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.02
2017,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.01
2018,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.03
2003,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.02
1999,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.01
2011,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0
2012,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0
2013,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0
1993,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.03
2000,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0
2002,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.04
1992,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.08
1995,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.03
1996,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.03
1997,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.03
1994,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.02
1991,Public spending on active labour market policies,SVK,Slovak Republic,Training,Share of GDP,0.01
2015,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.06
2016,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.08
2014,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.09
2020,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.09
2022,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.07
2021,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.08
2004,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.15
2005,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.13
2006,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.12
2001,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.11
2019,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.07
2007,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.11
2008,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.1
2009,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.11
2010,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.11
2017,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.08
2018,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.08
2003,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.11
2011,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.1
2012,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.08
2013,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.08
2002,Public spending on active labour market policies,AUS,Australia,Placement and related services,Share of GDP,0.09
2015,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.01
2016,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.01
1988,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0
2014,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0
2020,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0
2022,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0
1985,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.11
2021,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0
2004,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.08
2005,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.08
2006,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.06
2001,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.08
2019,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0
2007,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.05
2008,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.04
2009,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.04
2010,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.03
1998,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.07
2017,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0
2018,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0
2003,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.08
1999,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.08
2011,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.02
2012,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.01
2013,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0
1993,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.09
2000,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.08
2002,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.09
1992,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.1
1995,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.22
1996,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.11
1997,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.07
1994,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.14
1989,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0
1990,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0
1986,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.07
1987,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.03
1991,Public spending on active labour market policies,AUS,Australia,Direct job creation,Share of GDP,0.01
2015,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0
2016,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0
1988,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.04
2014,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0
2020,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,2.81
2022,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.13
1985,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.07
2021,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.15
2004,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2005,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2006,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2001,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2019,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,1.61
2007,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2008,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2009,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2010,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
1998,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2017,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.02
2018,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2003,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
1999,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2011,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2012,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2013,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
1993,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.1
2000,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
2002,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.01
1992,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.09
1995,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.06
1996,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.06
1997,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.04
1994,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.06
1989,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.04
1990,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.03
1986,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.07
1987,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.06
1991,Public spending on active labour market policies,AUS,Australia,Employment incentives,Share of GDP,0.04
2015,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
2016,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
1988,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
2014,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
2020,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
2022,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
1985,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
2021,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
2004,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
2005,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
2006,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
2001,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.02
2019,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
2007,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
2008,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
2009,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
2010,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
1998,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.02
2017,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
2018,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
2003,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
1999,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.02
2011,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
2012,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
2013,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
1993,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.02
2000,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
2002,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
1992,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
1995,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.03
1996,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.03
1997,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.02
1994,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.02
1989,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
1990,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
1986,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
1987,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0
1991,Public spending on active labour market policies,AUS,Australia,Start-up incentives,Share of GDP,0.01
2015,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2016,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
1988,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.06
2014,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2020,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.03
2022,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.03
1985,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.04
2021,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.02
2004,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2005,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2006,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2001,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2019,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2007,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2008,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.03
2009,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.03
2010,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.02
1998,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0
2017,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2018,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2003,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
1999,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2011,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.02
2012,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2013,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
1993,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.14
2000,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
2002,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.01
1992,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.15
1995,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.13
1996,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.07
1997,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.04
1994,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.15
1989,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.05
1990,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.07
1986,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.04
1987,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.04
1991,Public spending on active labour market policies,AUS,Australia,Training,Share of GDP,0.1
2015,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.09
2016,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.09
2014,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.08
2020,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.12
2022,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.1
2021,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.11
2019,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.1
2010,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.07
2017,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.1
2018,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.1
2011,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.06
2012,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.08
2013,Public spending on active labour market policies,EST,Estonia,Placement and related services,Share of GDP,0.08
2015,Public spending on active labour market policies,EST,Estonia,Direct job creation,Share of GDP,0
